company_name,ric_code,esg_score,environment_scores,social_scores,governance_scores,ranks,total_industries
Mayr Melnhof Karton AG,MMKV.VI,52,33,63,63,31,64
Oesterreichische Post AG,POST.VI,71,73,67,75,17,175
Atrium European Real Estate Ltd,ATRS.VI,29,37,39,10,294,400
Andritz AG,ANDR.VI,77,75,77,78,46,554
Investcorp Holdings BSC,INVB.BH,28,0,40,27,282,375
Raiffeisen Bank International AG,RBIV.VI,65,61,87,37,155,996
Zumtobel Group AG,ZUMV.VI,62,39,76,71,145,554
National Bank of Bahrain BSC,NATB.BH,72,57,74,75,105,996
Gulf Hotel Group BSC,GHG.BH,30,3,22,66,219,322
Bahrain Commercial Facilities Co BSC,BCFC.BH,19,0,10,39,917,996
Bahrain Duty Free Shop Complex BSC,DUTY.BH,15,0,12,36,95,100
Inovest BSC Public,INOV.BH,21,0,5,40,323,375
Bahrain Kuwait Insurance Co BSC,BKIC.BH,13,0,12,17,296,305
Ackermans & Van Haaren NV,ACKB.BR,35,51,22,32,149,224
Etablissementen Franz Colruyt NV,COLR.BR,55,87,56,28,55,151
D'Ieteren NV,IETB.BR,74,75,73,73,21,266
Cofinimmo SA,COFB.BR,77,79,68,82,32,452
Fagron NV,FAGRO.BR,64,51,78,53,69,376
Barco NV,BAR.BR,66,73,78,44,21,120
Sofina SA,SOF.BR,15,0,44,10,45,54
Montea Comm VA,MONTE.BR,47,29,43,68,195,400
Aannemingsmaatschappij CFE NV,CFEB.BR,54,61,57,39,84,224
Umicore SA,UMI.BR,77,87,74,63,28,326
Econocom Group SE,ECONB.BR,30,55,43,11,545,813
Recticel NV,RECT.BR,44,47,38,49,167,326
Befimmo SA,BEFB.BR,68,94,60,44,75,452
Galapagos NV,GLPG.AS,51,12,66,63,56,538
Ucb SA,UCB.BR,86,78,93,82,9,376
Telenet Group Holding NV,TNET.BR,70,82,71,60,32,263
Proximus NV,PROX.BR,68,69,75,55,41,263
NV Bekaert SA,BEKB.BR,65,58,70,68,117,554
Gimv Investeringsmaatschappij Voor Vlanderen NV,GIMV.BR,44,29,47,46,185,375
Ion Beam Applications SA,IBAB.BR,71,49,68,86,35,329
Solvay SA,SOLB.BR,83,86,76,87,5,326
Kinepolis Group NV,KIPO.BR,32,34,39,18,211,322
Sioen Industries NV,SIOE.BR,32,29,44,11,94,118
Van de Velde NV,VELD.BR,51,32,72,23,54,118
Oxurion NV,OXUR.BR,38,12,70,27,156,538
Melexis NV,MLXS.BR,52,70,59,17,91,232
Orange Belgium SA,OBEL.BR,53,33,50,75,89,263
Intervest Offices & Warehouses NV,PRIF.BR,39,27,47,45,264,452
AGFA Gevaert NV,AGFB.BR,61,63,85,28,64,329
Retail Estates NV,RETE.BR,55,45,45,74,154,452
Nyrstar NV,NYR.BR,54,50,46,72,193,555
Greenyard NV,GREENY.BR,60,90,60,28,113,375
Warehouses de Pauw NV,WDPP.BR,59,67,73,37,122,452
Euronav NV,EUAV.BR,57,60,31,89,64,219
Groep Brussel Lambert NV,GBLB.BR,72,61,82,76,6,54
Exmar NV,EXMR.BR,34,40,41,16,138,219
Elia Group SA,ELI.BR,52,50,65,38,108,263
Aedifica SA,AOO.BR,65,74,65,54,88,452
KBC Ancora BV,KBCA.BR,18,0,3,35,340,375
Lazard Ltd,LAZ,67,57,58,77,53,375
Tessenderlo Group NV,TESB.BR,43,44,43,40,174,326
Petra Diamonds Ltd,PDL.L,78,77,67,97,39,555
Lancashire Holdings Ltd,LRE.L,54,14,37,86,115,305
Nordic American Tanker Ltd,NAT,10,8,12,9,213,219
Assured Guaranty Ltd,AGO,61,55,43,86,74,305
Teekay Corp,TK,49,48,46,55,90,219
Gulf Keystone Petroleum Ltd,GKP.L,42,24,30,91,168,410
SFL Corporation Ltd,SFL,19,18,11,30,189,219
Enstar Group Ltd,ESGR.O,53,30,34,83,117,305
Golden Ocean Group Ltd,GOGL.O,28,30,30,22,127,175
Frontline Ltd,FRO.OL,28,24,29,31,161,219
AXIS Capital Holdings Ltd,AXS,65,74,65,63,61,305
Banco Bradesco SA,BBDC4.SA,82,86,90,69,38,996
Alpargatas SA,ALPA4.SA,21,8,22,29,106,118
Light SA,LIGT3.SA,66,55,62,90,56,263
Braskem SA,BRKM5.SA,52,53,46,61,141,326
Itau Unibanco Holding SA,ITUB4.SA,87,84,93,79,15,996
Mahle Metal Leve SA,LEVE3.SA,31,49,31,6,172,231
Companhia Energetica de Minas Gerais CEMIG,CMIG4.SA,72,85,75,45,38,263
Centrais Eletricas Brasileiras SA,ELET6.SA,82,86,82,76,12,263
Lojas Americanas SA,LAME4.SA,69,61,79,66,17,111
BRF SA,BRFS3.SA,79,82,74,85,27,375
CESP Companhia Energetica de Sao Paulo,CESP6.SA,47,53,44,39,133,263
Vale SA,VALE3.SA,88,90,86,87,2,555
Petroleo Brasileiro SA Petrobras,PETR4.SA,76,62,86,78,22,410
EDP Energias do Brasil SA,ENBR3.SA,70,72,69,70,41,263
Odontoprev SA,ODPV3.SA,68,82,75,53,21,181
Cia Hering,HGTX3.SA,62,55,68,55,28,118
Metalurgica Gerdau SA,GOAU4.SA,70,65,81,58,87,555
WEG SA,WEGE3.SA,58,62,60,50,182,554
Tupy SA,TUPY3.SA,36,25,36,51,154,231
SLC Agricola SA,SLCE3.SA,35,50,30,29,248,375
Energisa SA,ENGI4.SA,40,29,38,61,169,263
Sul America SA,SULA11.SA,77,68,74,84,19,305
Duratex SA,DTEX3.SA,82,81,89,75,4,74
Marfrig Global Foods SA,MRFG3.SA,62,81,53,54,105,375
Oi SA em Recuperacao Judicial,OIBR4.SA,56,46,52,74,80,263
Marcopolo SA,POMO4.SA,26,0,27,57,450,554
Gol Linhas Aereas Inteligentes SA,GOLL4.SA,49,41,44,67,60,114
Embraer SA,EMBR3.SA,66,59,65,74,22,109
Lojas Renner SA,LREN3.SA,88,83,91,88,2,266
Randon SA Implementos e Participacoes,RAPT4.SA,52,73,53,27,228,554
Usinas Siderurgicas de Minas Gerais SA USIMINAS,USIM5.SA,65,59,66,70,121,555
Companhia Paranaense de Energia,CPLE6.SA,84,92,87,64,7,263
Via Varejo SA,VVAR3.SA,49,51,55,41,114,266
Rossi Residencial SA,RSID3.SA,26,7,32,38,314,400
